,extracted_academic-program,program,program_visual-inspect,program_match,visual-inspected-match
182,,social psychology,,0,0
183,,organic chemistry,,0,0
184,,civil engineering,,0,0
185,,organic chemistry,,0,0
186,,biology,,0,0
187,,chemistry,,0,0
188,,statistics,,0,0
189,,electrical engineering,,0,0
190,electrical engineering and committee on,optics,,0,0
191,electrical engineering and committee on,electrical engineering,,0,0
192,psychology in university of,social psychology,,0,0
193,chemistry of university of south,organic chemistry,,0,0
194,college of education in,education,,0,0
195,department of mathematics in,mathematics,,0,0
196,university of south florida,analytical chemistry,,0,0
197,university of south florida,science education,,0,0
198,department of mathematics in,mathematics,,0,0
199,,electrical engineering,,0,0
200,,psychology;experiments,,0,0
201,,geography,,0,0
202,king's college,religious history,,0,0
203,,genetics,,0,0
204,,aerospace materials,,0,0
205,university of toronto 1963,mathematics,,0,0
206,electrical engineering university of toronto,electrical engineering,,0,0
207,,literature,,0,0
208,educational theory a submitted in,educational evaluation,,0,0
209,psychology,physiological psychology,,0,0
210,medical biophysics university of toronto,biophysics,,0,0
211,,families & family life;personal relationships;sociology,,0,0
212,physics university of toronto,particle physics,,0,0
213,faculty of graduate studies,polymers,,0,0
214,,philosophy,,0,0
215,,engineering,,0,0
216,,cultural anthropology,,0,0
217,,organic chemistry,,0,0
218,,physics,,0,0
219,,forestry,,0,0
220,,mathematics,,0,0
221,,physics,,0,0
222,,organic chemistry,,0,0
223,computer science university of melbourne,computer science,,0,0
224,history,science history,,0,0
225,french university of melbourne,literature;middle ages,,0,0
226,,music,,0,0
227,mathematics university of,mechanics,,0,0
228,organic chemistry university of melbourne,organic chemistry,,0,0
229,fine arts,fine arts;biographies,,0,0
230,university of melbourne,developmental psychology,,0,0
231,middle eastern studies university of melbourne,ancient languages,,0,0
232,,educational psychology,,0,0
233,,economics,,0,0
234,,mathematics,,0,0
235,fulfillment of requirements for,astronomy,,0,0
236,,organic chemistry,,0,0
237,,theoretical physics,,0,0
238,,statistics,,0,0
239,,condensed matter physics,,0,0
240,,optics,,0,0
241,theoretical physics,condensed matter physics,,0,0
242,,mathematics,,0,0
243,north-eastern new caledonia 1774,cultural anthropology;history of oceania,,0,0
244,,paleoecology,,0,0
245,,archaeology,,0,0
246,,classical studies,,0,0
247,international relations,international law;international relations,,0,0
248,,demographics,,0,0
249,,archaeology,,0,0
250,anthropology,cultural anthropology,,0,0
251,geography in graduate division,geography,,0,0
252,music in graduate division,music,,0,0
253,economics in graduate division,economic history,,0,0
254,history of art in,fine arts,,0,0
255,mathematics in graduate division,mathematics,,0,0
256,education in graduate division,language arts,,0,0
257,history in graduate division,history,,0,0
258,zoology in graduate division,ecology,,0,0
259,chemistry in graduate division,chemistry,,0,0
260,education in graduate division,psychology,,0,0
261,psychology in graduate division,psychology,,0,0
262,,higher education,,0,0
263,psychology in graduate division,psychotherapy,,0,0
264,education in graduate division,psychotherapy,,0,0
265,economics in graduate division,economics,,0,0
266,physics in graduate division,astronomy;astrophysics,,0,0
267,,criminology,,0,0
268,education in graduate division,educational psychology,,0,0
269,physics in graduate division,fluid dynamics;gases,,0,0
270,electrical engineering,electrical engineering,,1,0
271,chemical engineering committee,chemical engineering,,0,0
272,presented paul por-yuan wang,condensation,,0,0
273,mechanical engineering committee,mechanical engineering,,0,0
274,mechanical engineering carnegie of technology,mechanical engineering,,0,0
275,physics,condensation,,0,0
276,pittsburgh,history,,0,0
277,,literature,,0,0
278,chemistry,chemistry,,1,0
279,civil engineering committee,civil engineering,,0,0
280,,chemical engineering,,0,0
281,,business community,,0,0
282,chemistry college,chemistry,,0,0
283,computer science committee,computer science,,0,0
284,chemical engineering college,chemical engineering,,0,0
285,computer science department head,computer science,,0,0
286,,chemistry,,0,0
287,computer science carnegie-mellon university,computer science,,0,0
288,mechanical engineering carnegie of technology,mechanics,,0,0
289,computer science carnegie-mellon university,computer science,,0,0
290,,geophysics,,0,0
291,,analytical chemistry,,0,0
292,phosphonate ester hydrolysis eugene p,organic chemistry,,0,0
293,,religion,,0,0
294,,social work,,0,0
295,,fluid dynamics;gases,,0,0
296,,geography,,0,0
297,,computer science,,0,0
298,,economics,,0,0
299,,linguistics,,0,0
300,,higher education,,0,0
301,,education history,,0,0
302,,education,,0,0
303,,education,,0,0
304,,psychology;experiments,,0,0
305,,higher education,,0,0
306,,chemistry,,0,0
307,,vocational education,,0,0
308,,academic guidance counseling,,0,0
309,,organic chemistry,,0,0
310,,ecology,,0,0
311,,literature,,0,0
312,,paleontology,,0,0
313,,mechanics,,0,0
314,,geophysics,,0,0
315,,ecology,,0,0
316,,psychology;experiments,,0,0
317,,chemical engineering,,0,0
318,,condensation,,0,0
319,,chemistry,,0,0
320,,economic theory,,0,0
321,,physics,,0,0
322,,ecology,,0,0
323,,social psychology,,0,0
324,,biology,,0,0
325,,molecules,,0,0
326,,finance,,0,0
327,pharmacology graduate school,pharmacology,,0,0
328,,chemistry,,0,0
329,,mechanical engineering,,0,0
330,chemistry in partial fulfillment of,organic chemistry,,0,0
331,chemistry in partial fulfillment of,organic chemistry,,0,0
332,chemistry in partial fulfillment of,chemistry,,0,0
333,chemistry in partial fulfillment of,chemistry,,0,0
334,,minority & ethnic groups;sociology,,0,0
335,chemistry in partial fulfillment of,organic chemistry,,0,0
336,astronomy in partial fulfillment of,astronomy;astrophysics,,0,0
337,astronomy in partial fulfillment of,astronomy;astrophysics,,0,0
338,chemistry in partial fulfillment of,chemistry,,0,0
339,chemistry in partial fulfillment of,chemistry,,0,0
340,,chemistry,,0,0
341,astronomy in partial fulfillment of,astronomy;astrophysics,,0,0
342,,education history,,0,0
343,,finance,,0,0
344,,school administration,,0,0
345,chemistry in partial fulfillment of,organic chemistry,,0,0
346,english in partial fulfillment of,literature,,0,0
347,,education,,0,0
348,,school administration,,0,0
349,chemistry in partial fulfillment of,organic chemistry,,0,0
350,,organic chemistry,,0,0
351,,mechanical engineering,,0,0
352,,organic chemistry,,0,0
353,,organic chemistry,,0,0
354,,chemical engineering,,0,0
355,,mechanical engineering,,0,0
356,,mechanical engineering,,0,0
357,,organic chemistry,,0,0
358,,organic chemistry,,0,0
359,,aerospace materials,,0,0
360,,organic chemistry,,0,0
361,,organic chemistry,,0,0
362,,mechanical engineering,,0,0
363,,nuclear physics;energy,,0,0
364,,aerospace materials,,0,0
365,,electrical engineering,,0,0
366,,metallurgy,,0,0
367,,mechanical engineering,,0,0
368,,chemical engineering,,0,0
369,,mechanical engineering,,0,0
370,electrical engineering and committee on,computer science,,0,0
371,linguistics and committee on,linguistics,,0,0
372,operations research and committee on,mathematics,,0,0
373,,business community,,0,0
374,electrical engineering and committee on,mathematics,,0,0
375,geology and committee on,geology,,0,0
376,statistics and committee on,statistics,,0,0
377,economics and committee on,finance,,0,0
378,biological sciences and committee on,biology,,0,0
379,economics and committee on,finance,,0,0
380,biology and committee on,biology,,0,0
381,engineering economic systems and committee,engineering,,0,0
382,geology and committee on,geology,,0,0
383,aeronautics and astronautics and committee,aerospace materials,,0,0
384,biological sciences and committee on,entomology;ecology,,0,0
385,aeronautics and astronautics and committee,aerospace materials,,0,0
386,southwestern arizona and northwestern sonora,geophysics,,0,0
387,philosophy and committee on,philosophy,,0,0
388,electrical engineering and committee on,electrical engineering,,0,0
389,engineering-economic systems and,engineering,,0,0
390,,psychology;experiments,,0,0
391,,school administration,,0,0
392,,education,,0,0
393,,education history;music history;music education,,0,0
394,,physics,,0,0
395,,metallurgy,,0,0
396,,linguistics,,0,0
397,,philosophy,,0,0
398,,mathematics,,0,0
399,,philosophy,,0,0
400,,chemistry,,0,0
401,,music,,0,0
402,,biochemistry,,0,0
403,,geology,,0,0
404,,linguistics,,0,0
405,,chemical engineering,,0,0
406,middle english and early modern english,linguistics,,0,0
407,a dissertation submitted in partial fulfillment,finance,,0,0
408,,philosophy,,0,0
409,wayne county,political science,,0,0
410,,music,,0,0
411,nuclear collisions malcolm david shuster,nuclear physics,,0,0
412,,aerospace materials;energy,,0,0
413,,mechanical engineering,,0,0
414,,music,,0,0
415,,immunology,,0,0
416,,music,,0,0
417,cyclohexane solutions mostafa mahmoud emara,chemistry,,0,0
418,,education history,,0,0
419,,zoology,,0,0
420,a beginning conducting class,higher education,,0,0
421,,academic guidance counseling,,0,0
422,,botany,,0,0
423,,international law;international relations,,0,0
424,,educational psychology,,0,0
425,,nuclear physics,,0,0
426,,nuclear physics,,0,0
427,,ancient civilizations,,0,0
428,,history,,0,0
429,,literature,,0,0
430,,biomedical research,,0,0
431,statistical point estimation james c,statistics,,0,0
432,,health,,0,0
433,,geography,,0,0
434,,mechanics,,0,0
435,,geography,,0,0
436,,history,,0,0
437,,fine arts,,0,0
438,,computer science,,0,0
439,,oceanography,,0,0
440,,literature,,0,0
441,,germanic literature,,0,0
442,,religion,,0,0
443,,economics,,0,0
444,,economics,,0,0
445,,materials science,,0,0
446,,ancient civilizations,,0,0
447,a dissertation submitted to johns,history,,0,0
448,,economic theory,,0,0
449,conformity with requirements for,mechanical engineering,,0,0
450,,mechanical engineering,,0,0
451,,biomedical research,,0,0
452,,chemical engineering,,0,0
453,,engineering,,0,0
454,,particle physics,,0,0
455,,physics,,0,0
456,,optics,,0,0
457,,electrical engineering,,0,0
458,,mathematics,,0,0
459,,geophysics,,0,0
460,,electrical engineering,,0,0
461,,electrical engineering,,0,0
462,,electrical engineering,,0,0
463,,astronomy;astrophysics,,0,0
464,,civil engineering,,0,0
465,,chemistry,,0,0
466,,mechanics,,0,0
467,,mathematics,,0,0
468,,astronomy;astrophysics,,0,0
469,,physics,,0,0
470,metal-semiconductor eutectic alloys,condensation,,0,0
471,,mathematics,,0,0
472,,mathematics,,0,0
473,,mathematics,,0,0
474,,mechanical engineering,,0,0
475,,vocational education,,0,0
476,,zoology,,0,0
477,,microbiology,,0,0
478,,polymers,,0,0
479,saudi arabia submitted mansoor i,economics,,0,0
480,,agricultural engineering,,0,0
481,,recreation,,0,0
482,,forestry,,0,0
483,,agricultural engineering,,0,0
484,,civil engineering,,0,0
485,,psychotherapy,,0,0
486,,botany,,0,0
487,,zoology,,0,0
488,,organic chemistry;energy,,0,0
489,,fluid dynamics;gases,,0,0
490,,livestock,,0,0
491,,livestock,,0,0
492,,school administration,,0,0
493,,ecology,,0,0
494,,vocational education,,0,0
495,,economics,,0,0
496,,civil engineering,,0,0
497,,chemistry,,0,0
498,,civil engineering,,0,0
499,in partial fulfillment of requirements,vocational education,,0,0
